date,district_name,year,NDVI,LST,NDWI,VCI,TCI,VHI,rootzone_soil_moisture,surface_soil_moisture,surface_water_extent_km2,GRACE_TWS
2012-04-01,central karoo,2012,0.2269556209303228,22.5803,-0.3374819899181387,62.67258693736534,87.26059582778156,74.96659138257345,0.1579253846153846,0.0960892307692307,8.696411921874992,5.568948137572765
2012-05-01,central karoo,2012,0.2303073221942192,19.5915,-0.3465992976192872,50.97397590187932,52.70237707125544,51.83817648656738,0.1579253846153846,0.0960892307692307,5.310988886718748,5.239521959797033
2012-06-01,central karoo,2012,0.2230667768569189,15.2085,-0.3381179657555238,42.81464055417119,54.775018670649736,48.79482961241047,0.1579253846153846,0.0960892307692307,15.9070975859375,7.777179139785137
2012-07-01,central karoo,2012,0.2049001089999833,14.2806,-0.3282345156247583,43.36089619317868,52.51902535961881,47.93996077639875,0.1579253846153846,0.0960892307692307,27.41446142578125,8.714063275570414
2012-08-01,central karoo,2012,0.1915593686843348,19.0764,-0.3163165036651212,57.69853754709655,60.54699178436039,59.12276466572847,0.1579253846153846,0.0960892307692307,33.1015234609375,10.125835675133048
2012-09-01,central karoo,2012,0.1785119211351605,28.3333,-0.3068343166526338,67.65978916949068,37.89039073672555,52.77508995310812,0.1579253846153846,0.0960892307692307,19.96997468497242,9.605575609634437
2012-10-01,central karoo,2012,0.1708688440751242,32.2107,-0.2871055631196912,62.28056025255421,85.8666882185359,74.07362423554505,0.1579253846153846,0.0960892307692307,18.43890467187499,9.102098126893845
2012-11-01,central karoo,2012,0.164285846934551,41.182,-0.2953721613258296,77.69491417099846,27.28607940417953,52.490496787589,0.1579253846153846,0.0960892307692307,19.290809859374995,8.581838061395233
2012-12-01,central karoo,2012,0.1806800379353714,39.6409,-0.3027145810820023,90.19509713148771,64.52500453528451,77.36005083338611,0.1579253846153846,0.0960892307692307,23.838203933593743,8.563079699177893
2013-01-01,central karoo,2013,0.1819181128906089,40.7937,-0.3073573478631828,64.50708577219223,63.0520519403207,63.77956885625646,0.1579253846153846,0.0960892307692307,27.60901983984374,6.363591613323455
2013-02-01,central karoo,2013,0.1795824662367874,39.5103,-0.3107636856416914,45.25532063006461,21.26932928564654,33.262324957855576,0.1579253846153846,0.0960892307692307,26.387772542968737,6.490419314978949
2013-03-01,central karoo,2013,0.1840417279011031,32.3714,-0.3122384569916939,36.6751751615663,42.22263336416899,39.44890426286764,0.1579253846153846,0.0960892307692307,19.518113496093747,6.604973368087138
2013-04-01,central karoo,2013,0.2062010109390213,24.9904,-0.3267222449065894,41.86090356912492,62.74703255795031,52.30396806353761,0.1579253846153846,0.0960892307692307,30.00691025427389,6.731801069742632
2013-05-01,central karoo,2013,0.2230113370455919,20.5814,-0.3401248915540405,45.05982408954294,38.67099462784733,41.86540935869513,0.1579253846153846,0.0960892307692307,30.32592741052389,6.971473625687956
2013-06-01,central karoo,2013,0.2229760988387559,14.7215,-0.3400563033746442,42.74186334610864,60.45789768483942,51.59988051547403,0.1579253846153846,0.0960892307692307,29.796034937867645,8.221590194277459
2013-07-01,central karoo,2013,0.2043806612819186,16.3298,-0.3315742585574132,42.89134240439712,29.38147821963281,36.136410312014974,0.1579253846153846,0.0960892307692307,27.168793394898888,8.108836087341064
2013-08-01,central karoo,2013,0.1856439482507921,19.1663,-0.3164921127004544,49.918950756192906,59.4719029908755,54.6954268735342,0.1579253846153846,0.0960892307692307,24.04659382068015,7.992323510173458
2013-09-01,central karoo,2013,0.1632664105621658,28.7457,-0.3024843212409145,43.466887693909726,33.134197536559505,38.30054261523462,0.1579253846153846,0.0960892307692307,22.17811816443014,7.875810933005851
2013-10-01,central karoo,2013,0.1667382443912781,33.0836,-0.2961414572596136,55.70387844137245,77.04826945224578,66.37607394680911,0.1579253846153846,0.0960892307692307,18.916052419347427,6.843628978945199
2013-11-01,central karoo,2013,0.1681022608731638,39.5087,-0.297169957434911,85.39164349861191,46.63752327423706,66.01458338642449,0.1579253846153846,0.0960892307692307,25.492499148805148,6.4832663480907575
2013-12-01,central karoo,2013,0.1737982157921688,40.1649,-0.3014417512354083,79.45042324429416,59.24391767954685,69.34717046192051,0.1579253846153846,0.0960892307692307,27.061338566406228,6.6929649130181685
2014-01-01,central karoo,2014,0.1852642840096081,42.6168,-0.3120291525654253,68.28455828383504,29.136436358224547,48.71049732102979,0.1579253846153846,0.0960892307692307,31.23928378262868,5.904127903427593
2014-02-01,central karoo,2014,0.1875816477491267,38.5921,-0.315008778161987,53.45765113573534,33.71325572255275,43.585453429144046,0.1579253846153846,0.0960892307692307,29.09309546231617,5.115290893837018
2014-03-01,central karoo,2014,0.1974472531221089,32.5635,-0.3226770231311608,52.20808602719848,39.85322232500776,46.03065417610312,0.1579253846153846,0.0960892307692307,27.808625887086382,4.402792949690691
2014-04-01,central karoo,2014,0.2082604644071349,26.8081,-0.3258869886839378,43.92602035561082,44.25887689819666,44.09244862690374,0.1579253846153846,0.0960892307692307,27.61814271231617,5.417783329565704
2014-05-01,central karoo,2014,0.2275009722642785,19.4723,-0.3438148927284491,48.69913855145907,54.3919828771492,51.54556071430414,0.1579253846153846,0.0960892307692307,27.40952268497241,8.580753890697354
2014-06-01,central karoo,2014,0.208153294731721,15.3879,-0.3397354030293547,30.8452392201913,52.68157206870799,41.76340564444965,0.1579253846153846,0.0960892307692307,26.302651552159915,7.067501710608938
2014-07-01,central karoo,2014,0.1866631123972486,16.6292,-0.3244206629974234,26.87559737867151,26.000948445227262,26.43827291194939,0.1579253846153846,0.0960892307692307,20.817431648805137,5.603064116974987
2014-08-01,central karoo,2014,0.1732112449937089,22.1551,-0.311356222087419,33.56824582817415,23.72968512694177,28.64896547755796,0.1579253846153846,0.0960892307692307,25.98816522012866,6.516276002429928
2014-09-01,central karoo,2014,0.158711296144797,29.4903,-0.2990494026527011,36.23843615850444,24.54675462471744,30.39259539161094,0.1579253846153846,0.0960892307692307,23.317603347656235,7.023820620111549
2014-10-01,central karoo,2014,0.1560305265081202,35.3366,-0.291076238478731,38.65520298709574,54.28747499646415,46.471338991779945,0.1579253846153846,0.0960892307692307,20.77218465661764,7.884953912499974
2014-11-01,central karoo,2014,0.1587194804696247,38.2051,-0.2917559148762932,66.46897885371604,61.713446437451566,64.0912126455838,0.1579253846153846,0.0960892307692307,23.19599235974264,7.297739920768674
2014-12-01,central karoo,2014,0.1526725864523941,42.1458,-0.2921515931052608,46.4667173021388,39.27959525105319,42.87315627659599,0.1579253846153846,0.0960892307692307,19.67649121911764,6.729468315867416
2015-01-01,central karoo,2015,0.1473321205539796,43.7722,-0.291807374899439,25.463166410835104,7.642221974178701,16.5526941925069,0.1579253846153846,0.0960892307692307,13.010077738281248,6.142254324136116
2015-02-01,central karoo,2015,0.1490687943827906,39.4322,-0.2953851403076208,13.966716777034843,22.32778131649207,18.147249046763456,0.1579253846153846,0.0960892307692307,13.741734007812497,5.644526337155515
2015-03-01,central karoo,2015,0.1607226875024864,34.2906,-0.2992067325523694,9.655526918600016,18.550724637681217,14.103125778140615,0.1521,0.0896,16.84552204825367,5.57135622608879
